E Net Production (ENP),ducenit.com,"Technology, Information & Media",201
E&L medical systems GmbH,eundl.de,"Technology, Information & Media",51
e6data,e6data.com,"Technology, Information & Media",18568
Eagle Eye (Networks),eagleeye.com,"Technology, Information & Media",201
Ease Healthcare,ease-healthcare.com,Hospital & Health Care,18568
Easiofy Solutions,easiofy.com,"Technology, Information & Media",201
Easyrewardz Software Services,easyrewardz.com,Software Solutions & Services,258
Echo,getecho.chat,"Technology, Information & Media",50
Echobot,echobot.de,"Technology, Information & Media",201
ecoATM Gazelle,ecoatm.com,Software Solutions & Services,201
EcoOnline Global,ecoonline.com,"Technology, Information & Media",501
ecoplanet,ecoplanet.tech,Information Technology & Services,110
EdCast by Cornerstone,edcast.com,"Technology, Information & Media",1001
Edenred PayTech,paytech.edenred.com,Finance,201
EdgeGrid,edgegrid.com,Information Technology & Services,33
Effilix,effilix.com,"Technology, Information & Media",50
Egnyte,egnyte.com,"Technology, Information & Media",1233
Elation Health,elationhealth.com,Hospital & Health Care,250
ElevateHQ,elevate.so,Information Technology & Services,21
Elint Data,elintdata.com,Software Development / Data & AI,18568
"Elucid (Boston, medical imaging)",elucid.social,Medical Equipment / Healthtech SaaS,122
elvah,elvah.de,EV charging / Software Development,49
Emidat,emidat.com,Climate / Business Productivity SaaS,24
emlen,emlen.io,Sales enablement / Business Productivity SaaS,23
empower (empowersuite),empowersuite.com,Technology / Document automation SaaS,51
Empyrean Solutions,empyreansolutions.com,Financial SaaS for banks,116
Emulate Energy,emulate.energy,Energy / IoT SaaS,41
Engagedly Inc.,engagedly.com,HR / Talent management SaaS,109
Engages.ai,engages.ai,Finance / AI engagement,51
EngFlow,engflow.com,Build automation SaaS,45
Enode,enode.com,Energy / Business Productivity SaaS,60
EnqDB,enqdb.com,Developer tools / analytics SaaS,10
Ensemble AI,ensembleai.io,AI process‑automation platform (SWaS),11
Entegral,entegral.com,Insurance / claims management software,330
Entvin (Entvin AI),entvin.com,B2B SaaS for pharma/chemical,4
enventa Group,enventa-group.com,ERP / Business Productivity SaaS,360
Enzo,heyenzo.com,Information Technology & Services,27
epay (Euronet),epayworldwide.com,Finance,501
eProductivity Software,epssw.com,"Technology, Information & Media",1001
Eptura,eptura.com,"Technology, Information & Media",1001
Equal Identity,equal.in,"Technology, Information & Media",26
Equality Health,equalityhealth.com,Hospital & Health Care,220
Equals Money,equalsmoney.com,Finance,201
Equipo Health,equipohealth.com,Hospital & Health Care,57
Erste Digital,erstedigital.com,Information Technology & Services,1800
eSIM Go,esimgo.com,"Technology, Information & Media",51
etalytics,etalytics.com,Information Technology & Services,47
Ethos,ethoslife.com,Finance,501
EUROLOG,eurolog.com,"Technology, Information & Media",49
Euronext Solutions,euronext.com,Finance,51 - 200
EveryMatrix,everymatrix.com,Information Technology & Services,810
Evidi,evidi.com,Information Technology & Services,320
Evinova,evinova.com,Information Technology & Services,310
EXA Infrastructure,exainfra.net,"Technology, Information & Media",201 - 500
Explorance,explorance.com,"Technology, Information & Media",201 - 500
Exterro,exterro.com,"Technology, Information & Media",501 - 1000
Eye-Able (Web Inclusion),eye-able.com,Information Technology & Services,120
F1Soft International,f1soft.com,Software Solutions & Services,201 - 500
Fable Fintech,fablefintech.com,Software Solutions & Services,51 - 200
Fabrick,fabrick.com,Finance,201 - 500
FABRITY,fabrity.com,"Technology, Information & Media",201 - 500
Facctum,facctum.com,FinTech / Compliance SaaS,110
FaceIntel Technologies,faceintel.ai,AI / Video Intelligence,25
FactFinder,fact-finder.com,E-commerce SaaS / Search,200
FactoryPal,factorypal.com,ML / Fintech SaaS,48
Fanbase,fanbaseclub.com,Sports Tech / SaaS,29
Fandom,fandom.com,Media / Wiki Platform,500
Farm,farm.vc,Venture Capital / Investment Platform,200
Farmacare.id,farmacare.id,HealthTech / Pharmacy SaaS,28
FarmByte,farmbyte.com,AgTech / Farm Management,200
"FastPix, Inc.",fastpix.io,Video Infrastructure / API,18568
Fazz Capital Finance,fazzfinance.id,FinTech / Lending,200
FD (FD Technologies),fdtechnologies.com,FinTech / Capital Markets SaaS,2462
Fello (HiFello),hifello.com,Real Estate / Marketing SaaS,150
Fermyon,fermyon.com,Developer Tools / WebAssembly,25
FICO,fico.com,Analytics / Credit Scoring SaaS,3811
Finalsite,finalsite.com,"Technology, Information & Media",201
Finaplus,finaplus.de,Information Technology & Services,47
Fingerprint,fingerprint.com,Information Technology & Services,170
finova,finova.tech,"Technology, Information & Media",370
Finshape,finshape.com,Information Technology & Services,370
Fircosoft,fircosoft.com,"Technology, Information & Media",139
First Due,firstdue.com,"Technology, Information & Media",237
First Insight,firstinsight.com,"Technology, Information & Media",51
First Stop Health,firststophealth.com,Hospital & Health Care,230
Fixflo,fixflo.com,"Technology, Information & Media",51
Fleek (getfleek.app),getfleek.app,Finance,51
Flink,goflink.com,Information Technology & Services,2600
Flip (flip.id),flip.id,Finance,250
Fluix,fluix.io,"Technology, Information & Media",51
Focalx,focalx.ai,Information Technology & Services,47
Foconis,foconis.com,Information Technology & Services,190
FOCONIS AG,analytics.foconis.com,"Technology, Information & Media",51
Fónua,fonua.com,"Technology, Information & Media",137
Formedics,formedics.com,Hospital & Health Care,96
Formpipe,formpipe.com,"Technology, Information & Media",217
Forterro,forterro.com,"Technology, Information & Media",2500
Framna,framna.com,Information Technology & Services,340
Freed,getfreed.ai,Hospital & Health Care,120
Fresha,fresha.com,"Technology, Information & Media",217
fulfillmenttools,fulfillmenttools.com,Information Technology & Services,62
Fullview,fullview.io,Finance,
Fundpath,fundpath.com,Finance,
Fuse Universal,fuseuniversal.com,"Technology, Information & Media",
Fuxam,fuxam.com,Information Technology & Services,21
Gabble.ai,gabble.ai,"Technology, Information & Media",
Gallabox,gallabox.com,"Technology, Information & Media",
gateway.fm,gateway.fm,Information Technology & Services,59
Genesys,genesys.com,Information Technology & Services,8500
Get Well,getwellnetwork.com,Hospital & Health Care,400
GFO-X,gfo-x.com,Finance,90
Gigamon,gigamon.com,"Technology, Information & Media",1000
Girmiti Software Pvt. Ltd.,girmiti.com,Software Solutions & Services,700
"Glass, Lewis & Co.",glasslewis.com,Finance,500
Glia,glia.com,"Technology, Information & Media",500
Glooko,glooko.com,Hospital & Health Care,250
Go Autonomous,goautonomous.io,Information Technology & Services,63
GoHenry,gohenry.com,Finance,
GoldenRace,goldenrace.com,"Technology, Information & Media",
GovRadar,govradar.net,Information Technology & Services,35
"Gr4vy, Inc",gr4vy.com,Finance,
GR8 Tech,gr8.tech,Information Technology & Services,670
Gram Games,gram.gs,"Technology, Information & Media",
Graphio.ai,graphio.ai,Information Technology & Services,150
Greytip Software Pvt. Ltd.,greythr.com,Software Solutions & Services,
Grip Invest,gripinvest.in,Finance,
Grupa Pracuj,,"Technology, Information & Media",
GSS - Global Screening Services,gss-rose.com,Finance,
GT Motive Spain,gtmotive.es,Information Technology & Services,300
Guideline,guideline.com,Finance,440
Gumlet,gumlet.com,Information Technology & Services,30
Haiilo,haiilo.com,"Technology, Information & Media",
Hailey HR,haileyhr.com,Information Technology & Services,140
Hakio,hakio.com,Information Technology & Services,31
Halocline,halocline.io,Information Technology & Services,38
Hälsa Hemma,,Hospital & Health Care,
Hanseaticsoft GmbH,hanseaticsoft.com,"Technology, Information & Media",
HaodaPay,haodapay.com,Finance,
Harri,harri.com,"Technology, Information & Media",
Haystack Health,haystackhealth.com,Hospital & Health Care,
HBox,hbox.ai,Hospital & Health Care,56
hc1,hc1.com,Hospital & Health Care,320
HealthArc,healtharc.io,Hospital & Health Care,42
HealthJoy,healthjoy.com,Hospital & Health Care,420
HealthOrbit AI,healthorbit.ai,"Technology, Information & Media",
Healthy.io,healthy.io,"Technology, Information & Media",
Healthysure,healthysure.in,Finance,
Helius,helius.dev,Information Technology & Services,42
Helsing,helsing.ai,Information Technology & Services,450
HERO,hero-software.de,Information Technology & Services,180
HexaHealth,hexahealth.com,Hospital & Health Care,240
Heyflow,heyflow.com,Information Technology & Services,84
Hicomply,hicomply.com,Finance,
HighRadius,highradius.com,"Technology, Information & Media",
Hilti Technology Solutions India,careers.hilti.group,"Technology, Information & Media",
Hint Health,,Hospital & Health Care,
Hippocratic AI,hippocraticai.com,Hospital & Health Care,160
Holistic AI,holisticai.com,Finance,
Holo4Med,holo4med.com,Finance,
Hometap,hometap.com,Finance,270
HomeXpress Mortgage,homexmortgage.com,Finance,270
Housecall Pro,,"Technology, Information & Media",
HROne,hrone.cloud,Software Solutions & Services,
Huma,huma.com,"Technology, Information & Media",
Hydrosavvy,hydrosavvy.io,"Technology, Information & Media",
HYPE Innovation,hypeinnovation.com,"Technology, Information & Media",
Hyreo,hyreo.com,Information Technology & Services,58
Hyring Inc.,hyring.com,"Technology, Information & Media",18568
i-nexus strategy software,i-nexus.com,"Technology, Information & Media",51 - 200
iCapital,icapital.com,Information Technology & Services,1800
ICE Mortgage Technology,icemortgagetechnology.com,"Technology, Information & Media",1001 - 5000
IDMC Limited,idmc.com,Information Technology & Services,930
IDS Next Business Solutions,idsnext.com,"Technology, Information & Media",201 - 500
Im-Par (Implementation Partners),im-par.de,Information Technology & Services,26
In-House Health,inhouse.health,Hospital & Health Care,
inai (YC S21),inai.io,Finance,
incident.io,incident.io,Finance,
Incredible Health,incrediblehealth.com,Information Technology & Services,160
INDICO by Telkomsel,indico.co.id,Information Technology & Services,200
Informatica,informatica.com,Information Technology & Services,5400
Ingentis,ingentis.com,"Technology, Information & Media",
Input Output,iohk.io,Information Technology & Services,470
Input Output (IOHK),iohk.io,"Technology, Information & Media",
Instabee,instabee.com,Information Technology & Services,430
Instem,instem.com,"Technology, Information & Media",
Integral Development Corp.,integral.com,"Technology, Information & Media",
Intrinsic,intrinsic.ai,Information Technology & Services,260
Inunity,inunity.com,Information Technology & Services,56
InvestCloud Financial Supermarket™,investcloud.com,Finance,501
Invevo,invevo.com,Finance,11
invideo,invideo.io,"Technology, Information and Media",51
INVIZA Health,invizahealth.ai,Hospital and Health Care,50
IONOS,ionos.com,Information Technology and Services,2700
IP Infusion,ipinfusion.com,"Technology, Information and Media",201
iPoint Systems,ipoint-systems.com,IT Services and IT Consulting,51
Isabel Group,isabelgroup.eu,Finance,201
iSales AB,isales.se,"Technology, Information and Media",201
ITILITE,bit.ly,"Technology, Information & Media",
ITS - Internet Travel Solutions,its.com,"Technology, Information & Media",
J2 Health,j2health.com,Hospital & Health Care,
Jackson Healthcare,jacksonhealthcare.com,Hospital & Health Care,490
Janes,janes.com,"Technology, Information & Media",
JATO Dynamics,jato.com,"Technology, Information & Media",
Jet2 Travel Technologies Pvt Ltd.,jet2traveltech.com,Software Solutions & Services,
JetSynthesys,jetsynthesys.com,Software Solutions & Services,
Jit Team,jit.team,Software Development,
JobCloud SA,jobcloud.ch,Information Technology & Services,290
Jugo,jugospaces.com,"Technology, Information & Media",51-200
Jules AI,julesai.com,Information Technology & Services,34
Junior,myjunior.ai,Information Technology & Services,68
JUPUS,jupus.de,Information Technology & Services,31
K Health,khealth.com,Hospital & Health Care,400
Kaizan,kaizan.ai,Information Technology & Services,64
Kanpla,kanpla.io,Information Technology & Services,53
Kantata,kantata.com,Information Technology & Services,470
Karkinos Healthcare,karkinos.in,Hospital & Health Care,400
Kbrw,kbrw.com,"Technology, Information & Media",150
Kelp,kelpglobal.com,Finance,23
Kertos,kertos.io,Information Technology & Services,57
Kestra,kestra.io,Information Technology & Services,43
Kintsugi,trykintsugi.com,Information Technology & Services,79
Kiona,kiona.com,Information Technology & Services,190
Kissflow,kissflow.com,"Technology, Information & Media",
Knowunity,knowunity.ai,Information Technology & Services,130
Komodo Health,komodohealth.com,Hospital & Health Care,
Korbyt,gokorbyt.com,"Technology, Information & Media",51 - 200
Kvikna,kvikna.no,Information Technology & Services,58
LABLIONS software & solutions,lablions.de,Information Technology & Services,31
LanguageWire,languagewire.com,Information Technology & Services,610
Lansweeper,lansweeper.com,"Technology, Information & Media",201 - 500
LAVI SOFTWARE (paysants.com/variantpay.in),paysants.com,Finance,11 to 50
LAYA Group,layagroup.de,Information Technology & Services,120
LCP (Lane Clark & Peacock),lcp.com,Finance,501
League,league.com,Hospital & Health Care,490
Legora,legora.com,Information Technology & Services,94
LemonEdge,lemonedge.com,Finance,78
LEVY Health,www.levy.health,Hospital & Health Care,240
Lido Finance,lido.fi,Information Technology & Services,70
LightBeam.ai,lightbeam.ai,Information Technology & Services,77
Liminal Custody,liminalcustody.com,Information Technology & Services,79
Linktree,linktr.ee,Information Technology & Services,280
live2.ai,live2.ai,Information Technology & Services,30
Livspace,livspace.com,"Technology, Information & Media",1001
LLMate,llmate.ai,"Technology, Information & Media",
Lobyco,lobyco.com,Information Technology & Services,100
Lodgify,lodgify.com,"Technology, Information & Media",201 - 500
LogicMonitor,logicmonitor.com,"Technology, Information & Media",1001 - 5000
LoginRadius,loginradius.com,"Technology, Information & Media",51 - 200
LongShort Labs,longshortlabs.com,"Technology, Information & Media",18568
Loyalty Juggernaut (LJI),lji.io,"Technology, Information & Media",201 - 500
LucyRx,lucyrx.com,Hospital & Health Care,140
Lumachain,lumachain.io,"Technology, Information & Media",51 - 200
Lyzr AI,lyzr.ai,"Technology, Information & Media",69
M0,m0.org,Information Technology & Services,52
M2P Fintech,m2pfintech.com,Finance,
m3ter,m3ter.com,Finance,
Mable,mable.ai,Information Technology & Services,31
Macmarts,macmarts.com,Information Technology & Services,23
Macrocosmos,macrocosmos.ai,Finance,
MADCash,getmadcash.com,Finance,
Magic Lane,magiclane.com,Information Technology & Services,42
MainConcept,mainconcept.com,"Technology, Information & Media",
Malted AI,malted.ai,Finance,
MAMEDICA®,mamedica.com,Finance,
Manentia AI,manentia.ai,Hospital & Health Care,22
Mangopay,mangopay.com,Finance,
"Manthan, now Algonomy",algonomy.com,Software Solutions & Services,
March Networks,,"Technology, Information & Media",
Mareana,mareana.com,"Technology, Information & Media",
Marginalen Bank,marginalen.se,Finance,
Markit,markit.eu,Information Technology & Services,200
Mavenir,mavenir.com,Information Technology & Services,5900
Maxio,maxio.com,Finance,260
Medallia,medallia.com,"Technology, Information & Media",1001
MedRefer GmbH,medrefer-gmbh,Hospital & Health Care,18568
Meeami Technologies,meeamitech.com,"Technology, Information & Media",51 - 200
Mejadokter,mejadokter.com,Finance,51 - 200
Meltlake,meltlake.fi,Information Technology & Services,58
Memposit,memposit.com,Finance,
Merantix Momentum,merantix-momentum.com,IT Services and IT Consulting,51 - 200
Merative,merative.com,Information Technology & Services,1600
Merit (earnmerits.com),merits.com,Information Technology & Services,120
Meritto (NoPaperForms),meritto.com,Software Solutions & Services,"501 - 1,000"
Merlin AI by Foyer,getmerlin.in,Information Technology & Services,44
Mermaid Chart,mermaidchart.com,Information Technology & Services,23
Mesalvo,mesalvo.com,Information Technology & Services,240
MessengerCo,messengerco.ai,Finance,51 - 200
MetaBrix Labs,metabrixlab.com,"Technology, Information & Media",
Metal (metal.ai),metal.ai,Information Technology & Services,230
Metaphy Labs,metaphy.ai,"Technology, Information & Media",
metergrid,metergrid.de,Information Technology & Services,52
metiundo,metiundo.io,Information Technology & Services,51
METRO.digital,metro.digital,Information Technology & Services,670
Mettl,mettl.com,"Technology, Information & Media",201 - 500
MicroNsure,micronsure.com,Finance,51 - 200
Milient,milientsoftware.com,Information Technology & Services,77
MindHive,mindhive.asia,Finance,51 - 200
Mir Tech,mirtech.io,Finance,51 - 200
Mitratech,mitratech.com,"Technology, Information & Media",1001 - 5000
Model N,modeln.com,"Technology, Information & Media",501 - 1000
Moneybox,moneyboxapp.com,Finance,201 - 500
Moneycorp,moneycorp.com,Finance,501 - 1000
Monta,monta.com,Information Technology & Services,430
Monzo Bank,monzo.com,Banking,"1,001 - 5,000"
Moralis,moralis.io,Information Technology & Services,83
Mortgage Brain,mortgagebrain.co.uk,Finance,51 - 200
Motadata,motadata.com,"Technology, Information & Media",51 - 200
Munich Re Automation Solutions,munichre.com,"Technology, Information & Media",51 - 200
Mural Health,muralhealth.com,Hospital & Health Care,N/A
Muvi.com,muvi.com,"Technology, Information & Media",201 - 500
MX Global,mxglobal.com.my,Finance,51 - 200
Myrik,myrik.in,"Technology, Information & Media",201 - 500
Namunah Ai (LoopX),theloopx.com,"Technology, Information & Media",
Nansen,nansen.ai,Information Technology & Services,110
Napier Healthcare,napierhealthcare.com,Hospital & Health Care,
Nasdaq AxiomSL (Adenza),adenza.com,"Technology, Information & Media",
Nassau Financial Group,,Finance,
Native,native.tech,Information Technology & Services,33
Navan,navan.com,"Technology, Information & Media",
Navro,navro.com,Finance,
Nektar.ai,nektar.ai,Information Technology & Services,48
Nerdio,getnerdio.com,Information Technology & Services,330
Netomi,netomi.com,"Technology, Information & Media",170
Neutrinos,neutrinos.co,"Technology, Information & Media",178
